$type,id,url,commonName,placeType,lat,lon
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_37,/Place/BikePoints_37,"Penywern Road, Earl's Court",BikePoint,51.491593,-0.192369
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_38,/Place/BikePoints_38,"Abingdon Villas, Kensington",BikePoint,51.497387,-0.197245
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_39,/Place/BikePoints_39,"Shoreditch High Street, Shoreditch",BikePoint,51.526377,-0.07813
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_40,/Place/BikePoints_40,"Commercial Street, Shoreditch",BikePoint,51.52127,-0.075578
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_41,/Place/BikePoints_41,"Pindar Street, Liverpool Street",BikePoint,51.520955,-0.083493
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_42,/Place/BikePoints_42,"Wenlock Road , Hoxton",BikePoint,51.530991,-0.093903
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_43,/Place/BikePoints_43,"Crawford Street, Marylebone",BikePoint,51.52026,-0.157183
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_44,/Place/BikePoints_44,"Bruton Street, Mayfair",BikePoint,51.510736,-0.144165
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_45,/Place/BikePoints_45,"Boston Place, Marylebone",BikePoint,51.522511,-0.162298
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_46,/Place/BikePoints_46,"Nesham Street, Wapping",BikePoint,51.507131,-0.06691
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_47,/Place/BikePoints_47,"Warwick Avenue Station, Maida Vale",BikePoint,51.523344,-0.183846
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_48,/Place/BikePoints_48,"Godliman Street, St. Paul's",BikePoint,51.512484,-0.099141
